Starting Location,Count of usertype,latitude,longitude
Adler Planetarium,6913,41.866095,-87.607267
Ashland Ave & Division St,4242,41.90345,-87.667747
Bissell St & Armitage Ave,3606,41.91844,-87.65222
Broadway & Barry Ave,4387,41.937725,-87.644095
Buckingham Fountain,4831,41.876393,-87.620328
Burnham Harbor,7628,41.856268,-87.613348
Canal St & Adams St,11039,41.879255,-87.639904
Canal St & Madison St,8856,41.882091,-87.639833
Canal St & Monroe St (*),4357,41.880884,-87.639525
Clark St & Armitage Ave,6788,41.918306,-87.636282
Clark St & Elm St,6375,41.902973,-87.63128
Clark St & Lake St,4261,41.88602083,-87.63087606
Clark St & Lincoln Ave,6047,41.915689,-87.6346
Clark St & Randolph St,4185,41.88457623,-87.63188991
Clark St & Schiller St,3671,41.907993,-87.631501
Clark St & Wrightwood Ave,4252,41.929546,-87.643118
Clinton St & Jackson Blvd,8230,41.87803,-87.64105
Clinton St & Lake St,5696,41.885637,-87.641823
Clinton St & Madison St,11523,41.882242,-87.641066
Clinton St & Washington Blvd,13352,41.88338,-87.64117
Columbus Dr & Randolph St,10237,41.884728,-87.619521
Daley Center Plaza,8368,41.884241,-87.629634
Damen Ave & Pierce Ave,4894,41.90939601,-87.67769193
Dearborn Pkwy & Delaware Pl,4874,41.898969,-87.629912
Dearborn St & Adams St,3767,41.87935636,-87.62979104
Dearborn St & Erie St,6570,41.893992,-87.629318
Dearborn St & Monroe St,5438,41.88131982,-87.62952092
Desplaines St & Kinzie St,5144,41.88871604,-87.64444785
Dusable Harbor,7453,41.885041,-87.612794
Fairbanks Ct & Grand Ave,5733,41.89186,-87.62062
Field Museum,4079,41.865312,-87.617867
Fort Dearborn Dr & 31st St,3765,41.838556,-87.608218
Franklin St & Chicago Ave,3748,41.896776,-87.635633
Franklin St & Jackson Blvd,6171,41.87770796,-87.63532114
Franklin St & Monroe St,8526,41.880317,-87.635185
Franklin St & Quincy St,3626,41.878724,-87.634793
Green St & Madison St,4144,41.881892,-87.648789
Green St & Randolph St,3802,41.883668,-87.64867
Indiana Ave & Roosevelt Rd,7562,41.867888,-87.623041
Kingsbury St & Erie St,5249,41.893882,-87.641711
Kingsbury St & Kinzie St,9059,41.88917683,-87.63850577
Lake Shore Dr & Belmont Ave,5222,41.940775,-87.639192
Lake Shore Dr & Diversey Pkwy,3740,41.932684,-87.63625
Lake Shore Dr & Monroe St,17598,41.880958,-87.616743
Lake Shore Dr & North Blvd,14949,41.911722,-87.626804
Lake Shore Dr & Ohio St,5042,41.89257,-87.614492
Lake Shore Dr & Wellington Ave,4377,41.936669,-87.636794
Lakefront Trail & Bryn Mawr Ave,3709,41.9840367,-87.65231047
Lakeview Ave & Fullerton Pkwy,4422,41.925858,-87.638973
Larrabee St & Kingsbury St,5572,41.897764,-87.642884
Larrabee St & Webster Ave,3503,41.921822,-87.64414
LaSalle St & Adams St,3941,41.87934437,-87.63198522
LaSalle St & Illinois St,6738,41.890762,-87.631697
LaSalle St & Jackson Blvd,5565,41.87817,-87.631985
LaSalle St & Washington St,4122,41.882664,-87.63253
Marshfield Ave & Cortland St,5119,41.916017,-87.668879
McClurg Ct & Erie St,4326,41.894503,-87.617854
McClurg Ct & Illinois St,7855,41.890359,-87.617532
Michigan Ave & Jackson Blvd,5532,41.87785,-87.62408
Michigan Ave & Lake St,6570,41.886024,-87.624117
Michigan Ave & Oak St,11719,41.90096039,-87.62377664
Michigan Ave & Pearson St,3556,41.89766,-87.62351
Michigan Ave & Washington St,9779,41.88389277,-87.62464914
Mies van der Rohe Way & Chestnut St,4554,41.89858665,-87.62191523
Mies van der Rohe Way & Chicago Ave,3769,41.89691,-87.621743
Millennium Park,11095,41.8810317,-87.62408432
Montrose Harbor,5316,41.963982,-87.638181
Morgan St & Lake St,4155,41.88548331,-87.65230486
Orleans St & Merchandise Mart Plaza,7989,41.888243,-87.63639
Peoria St & Jackson Blvd,3968,41.877749,-87.649633
Shedd Aquarium,9378,41.86722596,-87.61535539
Sheffield Ave & Fullerton Ave,4524,41.92560188,-87.65370804
Sheffield Ave & Waveland Ave,3869,41.949399,-87.654529
St. Clair St & Erie St,5576,41.894448,-87.622663
State St & Kinzie St,5423,41.889187,-87.627754
State St & Randolph St,4795,41.8847302,-87.62773357
State St & Van Buren St,3846,41.877181,-87.627844
Stetson Ave & South Water St,3846,41.886835,-87.62232
Streeter Dr & Grand Ave,29671,41.892278,-87.612043
Theater on the Lake,13532,41.926277,-87.630834
Wabash Ave & Grand Ave,5552,41.891466,-87.626761
Wabash Ave & Roosevelt Rd,6226,41.867227,-87.625961
Wabash Ave & Wacker Pl,3849,41.886875,-87.62603
Wacker Dr & Washington St,4738,41.883132,-87.637321
Wells St & Concord Ln,6292,41.912133,-87.634656
Wells St & Elm St,3551,41.903222,-87.634324
Wells St & Evergreen Ave,3748,41.906724,-87.63483
Wells St & Huron St,4645,42.97886,-82.43839
Wilton Ave & Belmont Ave,5113,41.94018,-87.65304
Grand Total,1048575,,
