starting_station,Customer,latitude,longitude
Adler Planetarium,5253,41.866095,-87.607267
Buckingham Fountain,3519,41.876393,-87.620328
Burnham Harbor,4507,41.856268,-87.613348
Dusable Harbor,5271,41.885041,-87.612794
Field Museum,3188,41.865312,-87.617867
Lake Shore Dr & Monroe St,13709,41.880958,-87.616743
Lake Shore Dr & North Blvd,8614,41.911722,-87.626804
McClurg Ct & Illinois St,3181,41.890359,-87.617532
Michigan Ave & Oak St,6800,41.90096039,-87.62377664
Millennium Park,7584,41.8810317,-87.62408432
Montrose Harbor,3032,41.963982,-87.638181
Shedd Aquarium,7474,41.86722596,-87.61535539
Streeter Dr & Grand Ave,23424,41.892278,-87.612043
Theater on the Lake,7219,41.926277,-87.630834
